iter	Passed	Remaining
836	6138	4862
837	6146	4855
838	6154	4848
839	6160	4840
840	6168	4833
841	6174	4825
842	6180	4817
843	6187	4808
844	6194	4801
845	6203	4795
846	6210	4788
847	6219	4782
848	6231	4778
849	6244	4775
850	6252	4768
851	6260	4761
852	6281	4764
853	6292	4759
854	6302	4754
855	6310	4747
856	6327	4747
857	6340	4744
858	6361	4747
859	6377	4745
860	6403	4752
861	6417	4750
862	6433	4748
863	6445	4744
864	6466	4747
865	6478	4743
866	6491	4739
867	6500	4733
868	6517	4732
869	6527	4727
870	6542	4724
871	6553	4720
872	6566	4716
873	6579	4712
874	6588	4705
875	6598	4700
876	6612	4697
877	6625	4693
878	6639	4691
879	6657	4690
880	6664	4682
881	6679	4680
882	6691	4675
883	6705	4672
884	6712	4664
885	6728	4663
886	6740	4658
887	6753	4654
888	6761	4646
889	6774	4643
890	6782	4635
891	6794	4631
892	6806	4626
893	6822	4624
894	6829	4616
895	6845	4614
896	6852	4606
897	6868	4604
898	6875	4596
899	6891	4594
900	6900	4587
901	6910	4581
902	6918	4573
903	6926	4566
904	6934	4559
905	6944	4552
906	6952	4545
907	6959	4537
908	6966	4529
909	6975	4522
910	6981	4513
911	6987	4505
912	6996	4498
913	7005	4491
914	7012	4483
915	7020	4475
916	7028	4468
917	7035	4460
918	7042	4452
919	7053	4446
920	7063	4440
921	7071	4433
922	7079	4425
923	7086	4417
924	7095	4410
925	7109	4406
926	7120	4401
927	7129	4394
928	7145	4391
929	7158	4387
930	7168	4381
931	7181	4376
932	7189	4369
933	7197	4361
934	7204	4353
935	7212	4345
936	7219	4337
937	7226	4329
938	7234	4322
939	7242	4314
940	7249	4306
941	7257	4298
942	7265	4291
943	7272	4283
944	7279	4275
945	7287	4267
946	7298	4261
947	7309	4255
948	7316	4248
949	7323	4239
950	7331	4232
951	7339	4224
952	7347	4217
953	7355	4209
954	7362	4201
955	7370	4193
956	7379	4187
957	7389	4180
958	7401	4175
959	7410	4168
960	7419	4161
961	7430	4155
962	7439	4148
963	7447	4140
964	7454	4132
965	7461	4124
966	7471	4118
967	7482	4112
968	7492	4105
969	7500	4098
970	7507	4090
971	7514	4082
972	7523	4075
973	7531	4067
974	7538	4059
975	7547	4052
976	7557	4045
977	7565	4037
978	7572	4029
979	7581	4022
980	7590	4015
981	7598	4008
982	7606	4000
983	7613	3992
984	7621	3984
985	7628	3976
986	7635	3968
987	7642	3960
988	7652	3953
989	7662	3947
990	7673	3941
991	7682	3933
992	7689	3926
993	7696	3918
994	7704	3910
995	7712	3902
996	7720	3894
997	7727	3886
998	7734	3879
999	7743	3871
1000	7750	3863
1001	7758	3856
1002	7765	3848
1003	7773	3840
1004	7780	3832
1005	7787	3823
1006	7794	3816
1007	7802	3808
1008	7809	3800
1009	7817	3792
1010	7827	3785
1011	7835	3778
1012	7844	3771
1013	7852	3763
1014	7859	3755
1015	7866	3747
1016	7874	3740
1017	7883	3732
1018	7891	3724
1019	7898	3716
1020	7905	3708
1021	7913	3701
1022	7921	3693
1023	7930	3686
1024	7938	3678
1025	7948	3671
1026	7955	3663
1027	7963	3656
1028	7972	3649
1029	7979	3641
1030	7986	3633
1031	7994	3625
1032	8003	3618
1033	8010	3610
1034	8020	3603
1035	8032	3597
1036	8039	3589
1037	8046	3581
1038	8052	3572
1039	8058	3564
1040	8067	3557
1041	8075	3549
1042	8082	3541
1043	8090	3533
1044	8098	3526
1045	8106	3518
1046	8118	3512
1047	8125	3504
1048	8133	3496
1049	8141	3489
1050	8149	3481
1051	8158	3474
1052	8166	3466
1053	8175	3459
1054	8187	3453
1055	8197	3446
1056	8206	3439
1057	8215	3431
1058	8221	3423
1059	8229	3416
1060	8237	3408
1061	8248	3401
1062	8258	3394
1063	8269	3388
1064	8276	3380
1065	8283	3372
1066	8289	3363
1067	8295	3355
1068	8302	3347
1069	8309	3339
1070	8315	3330
1071	8322	3322
1072	8328	3314
1073	8335	3306
1074	8341	3297
1075	8350	3290
1076	8358	3282
1077	8364	3274
1078	8371	3266
1079	8377	3257
1080	8383	3249
1081	8390	3241
1082	8396	3232
1083	8402	3224
1084	8408	3216
1085	8415	3208
1086	8421	3199
1087	8427	3191
1088	8434	3183
1089	8440	3174
1090	8446	3166
1091	8452	3158
1092	8459	3149
1093	8465	3141
1094	8471	3133
1095	8477	3125
1096	8484	3116
1097	8490	3108
1098	8496	3100
1099	8502	3091
1100	8508	3083
1101	8515	3075
1102	8521	3067
1103	8529	3059
1104	8536	3051
1105	8543	3043
1106	8550	3035
1107	8557	3027
1108	8563	3019
1109	8570	3011
